Word,Conc.M,Length (letters),Percent_known,Conc_Category
handsaw,5.0,7,0.97,High
burrito,5.0,7,0.97,High
washtub,4.96,7,0.96,High
beanbag,4.96,7,1.0,High
iceberg,4.96,7,0.97,High
dagger,4.96,6,1.0,High
tinfoil,4.96,7,0.97,High
tissue,4.93,6,1.0,High
folder,4.93,6,1.0,High
infant,4.93,6,1.0,High
fridge,4.92,6,1.0,High
toenail,4.86,7,1.0,High
rooftop,4.86,7,1.0,High
plum,4.85,4,1.0,High
zipper,4.83,6,1.0,High
sherbet,4.83,7,1.0,High
iguana,4.83,6,1.0,High
brownie,4.82,7,0.97,High
locket,4.82,6,1.0,High
banner,4.8,6,1.0,High
flask,4.79,5,1.0,High
plastic,4.79,7,0.97,High
gazebo,4.79,6,0.97,High
coconut,4.79,7,1.0,High
cartridge,4.78,9,0.96,High
garment,4.78,7,1.0,High
bayonet,4.77,7,1.0,High
toolbox,4.75,7,1.0,High
slicer,4.72,6,1.0,High
almond,4.71,6,0.97,High
sombrero,4.7,8,1.0,High
kayak,4.7,5,1.0,High
debris,4.69,6,1.0,High
moat,4.69,4,0.96,High
speaker,4.69,7,1.0,High
cushion,4.68,7,1.0,High
tailor,4.67,6,1.0,High
bicep,4.67,5,1.0,High
jungle,4.66,6,1.0,High
perfume,4.66,7,1.0,High
wiring,4.64,6,1.0,High
collar,4.64,6,1.0,High
spool,4.62,5,1.0,High
drain,4.61,5,0.97,High
brisket,4.61,7,0.97,High
beverage,4.6,8,1.0,High
truffle,4.6,7,1.0,High
smoker,4.59,6,1.0,High
crust,4.59,5,1.0,High
hurricane,4.59,9,1.0,High
pepper,4.59,6,1.0,High
barley,4.59,6,1.0,High
opium,4.56,5,0.93,High
server,4.55,6,1.0,High
studio,4.55,6,1.0,High
tenant,4.55,6,0.97,High
vinyl,4.54,5,1.0,High
capsule,4.52,7,1.0,High
pewter,4.52,6,0.97,High
sheriff,4.5,7,1.0,High
vibe,1.89,4,0.96,Low
enigma,1.79,6,0.93,Low
appeal,1.73,6,1.0,Low
insight,1.72,7,1.0,Low
logic,1.72,5,1.0,Low
concern,1.7,7,1.0,Low
honor,1.68,5,1.0,Low
amuck,1.68,5,1.0,Low
taboo,1.67,5,1.0,Low
essence,1.66,7,1.0,Low
faith,1.63,5,1.0,Low
intent,1.52,6,1.0,Low
courage,1.52,7,1.0,Low
purpose,1.52,7,1.0,Low
privacy,1.5,7,1.0,Low
optimism,1.48,8,1.0,Low
deviancy,1.46,8,0.96,Low
tenacity,1.41,8,0.97,Low
ambiguity,1.3,9,1.0,Low
belief,1.19,6,1.0,Low
